#I, J,  Distance,  diameter
579,3752,15.003,2.4416
4176,7553,9.1216,1.8062
87,3469,10.795,2.4967
1171,2945,11.509,2.7385
2945,7538,15.657,1.7169
4612,5259,9.6867,1.7654
5259,8328,8.5438,1.5851
2913,4651,12.283,1.6297
2910,5525,10.238,1.2708
1662,4687,12.403,2.3985
2865,4173,11.555,0.89115
7371,8023,7.1917,1.5794
2531,6950,13.305,1.9014
2596,6786,15.895,2.2765
1004,6314,9.8204,1.6628
4728,5163,8.0022,1.7319
5357,6372,15.774,1.7712
4728,7429,8.5738,1.2454
1982,2687,6.7313,2.2797
5413,5477,8.5003,2.2496
1096,5391,9.6856,1.956
6630,6821,11.612,2.3995
483,3631,13.93,1.0858
3755,4000,10.341,1.6827
4116,5384,9.0258,1.5691
13,111,14.493,2.5152
10,589,19.136,3.1803
10,756,12.129,2.0877
178,4635,8.4339,2.7155
912,4635,7.1803,2.0125
669,1745,13.838,2.5063
4285,5010,14.131,1.8041
223,1805,8.6101,2.1523
407,2144,15.55,2.2573
4882,5274,6.0806,1.8434
7715,8344,7.821,0.96664
6071,8169,10.817,1.8493
6071,7065,11.961,1.1086
1171,2493,14.055,2.3734
2493,8517,8.0288,1.9834
2910,7913,12.573,1.2286
4687,7076,10.07,1.5893
3117,6648,8.8739,2.0684
5710,6269,10.831,1.7831
2653,7073,11.981,1.4276
4466,5168,7.8262,1.1241
2580,4466,10.679,1.7029
283,1034,12.18,1.833
819,1051,13.163,1.9172
5415,8023,15.204,1.5176
3198,6245,8.1699,2.2783
7088,8963,7.9088,1.2652
4425,7088,14.059,1.4269
2574,3551,12.258,1.6168
282,5182,7.7401,2.1918
5136,8411,9.0183,1.2623
3796,6693,9.8948,1.6064
3796,8472,7.1158,1.6109
4728,7628,9.8275,1.4104
1921,6372,9.7895,1.5056
997,4000,11.408,2.322
5384,6817,8.7562,1.2682
3204,3831,12.096,1.6347
4044,7113,8.5073,1.7706
2952,7319,11.89,2.1565
927,2133,15.805,2.0521
927,4673,11.398,2.209
10,1437,15.425,2.394
1137,1740,12.083,2.295
223,1048,12.477,2.6368
355,4426,14.041,2.4475
1137,7829,16.571,1.4104
4176,6324,10.941,1.7508
3752,7362,8.8859,2.4038
87,8623,9.9636,1.5772
1171,3752,11.148,1.7721
3783,7818,12.559,1.4177
5207,8517,6.331,1.6325
2945,4161,10.235,1.8809
2441,4829,13.944,1.7667
2910,5259,8.1467,1.6516
6047,7692,11.358,1.6911
5953,6023,7.5241,1.8475
1892,5062,15.847,1.959
874,2862,11.785,2.3434
1051,2578,6.5236,1.9126
610,2285,18.37,2.2841
4495,7088,11.762,1.6944
57,479,16.109,3.0156
278,608,14.34,0.88645
1549,2830,11.611,1.7038
2620,6455,11.247,2.388
924,2205,12.399,1.4438
2824,7042,14.127,1.6958
2800,4617,16.195,1.9109
4166,6314,12.373,1.6428
6824,7429,9.1376,1.1581
2687,5159,6.6272,2.3188
1921,6115,9.9472,1.223
4141,6115,9.8882,1.6666
483,1667,21.741,1.7372
67,483,9.0289,3.2806
1921,6179,6.3373,1.9548
4,1293,15.237,3.5211
111,1293,13.145,2.4984
2741,7029,10.461,1.9615
483,3831,11.716,1.7971
2992,3204,12.905,2.13
3738,8768,8.7104,1.2968
3528,6199,13.464,0.83863
309,7761,10.419,1.8171
1708,2298,7.2431,2.1553
129,1750,9.6437,2.2647
5861,7066,14.787,1.6632
7196,9129,11.016,0.27225
1139,1323,14.165,1.9228
1323,6145,15.304,1.732
407,970,12.579,2.671
6492,7715,11.691,1.0233
4176,6527,15.106,1.2173
383,4096,14.627,1.8367
5891,9563,12.519,1.0367
5344,6110,11.334,1.8298
5891,6377,6.8417,1.6822
649,1754,11.862,2.4444
3485,4651,16.735,1.656
649,2864,12.036,1.6208
2428,4481,9.4856,1.2779
2653,4655,14.769,2.1591
2578,4173,7.6334,1.7075
1034,7073,13.699,1.4557
5323,6531,9.1605,1.4506
1304,2653,10.63,2.1569
2152,2862,13.949,1.7072
610,2152,16.236,1.5426
819,5920,12.435,1.3681
4495,5920,12.527,1.5222
1051,8963,11.626,1.2621
1304,4304,12.728,1.6971
2628,4425,15.94,2.3514
1829,2285,14.7,1.4584
46,608,13.364,2.6174
1829,2574,8.9732,1.7266
1223,1513,9.3368,2.8228
282,6679,7.2374,1.8348
57,2047,16.181,2.6301
2830,5136,10.358,2.2776
1576,2651,8.9479,2.7697
2047,2205,8.2947,2.5452
2651,4951,12.165,2.5897
4166,7176,11.412,1.9558
5582,7779,7.3216,2.0212
1982,5163,11.235,1.5213
110,390,15.832,2.7006
390,1096,12.111,2.8689
4141,6141,15.621,1.8344
67,3214,12.722,1.6818
1309,3570,10.795,2.3283
30,1254,15.367,2.4109
6199,6616,8.3055,1.7279
1087,4673,12.873,1.7575
1999,4770,13.837,2.0245
1834,9428,12.624,1.2288
2298,8053,8.3061,1.1108
309,1745,13.127,1.5592
223,2214,10.328,1.7187
4285,5861,11.175,2.1807
603,875,10.983,2.3998
1137,7251,19.817,1.5665
7715,8169,9.9922,1.6884
407,3752,14.917,2.209
6527,7553,13.844,1.3606
8926,9563,5.0794,1.6938
3783,4403,12.345,1.9657
7065,9324,12.07,1.6233
5671,6377,5.3042,1.7353
4651,6754,11.755,1.3377
3034,5710,11.974,1.7489
4737,6531,11.327,1.7657
610,5353,16.177,1.7823
2477,4581,8.6836,2.4334
2192,4304,10.421,1.9242
621,6693,15.044,1.2656
6896,7208,11.227,1.5967
6826,6896,10.154,0.68945
6896,8411,9.5183,1.5686
2800,9021,11.5,1.1611
4997,8411,15.038,1.2518
5047,8411,15.877,0.27363
4951,6962,8.4772,1.6651
2233,4860,12.516,2.3266
4301,7042,9.9162,1.8971
2233,5725,14.444,1.5572
5188,5817,8.932,1.3184
7429,7779,8.5263,2.0992
4302,6408,11.746,1.2467
4141,6179,7.7232,2.022
934,997,8.5223,3.0679
4302,6630,6.2476,2.1833
934,4000,12.018,2.5104
3214,3831,11.345,1.1868
992,7113,13.449,1.5771
8540,8768,7.3193,1.5942
992,8695,12.841,1.6299
3779,7318,7.5051,2.3522
5010,7318,9.9502,1.8246
226,1837,20.301,1.6603
226,2094,12.438,1.9741
226,1139,15.597,1.8201
5274,5875,14.628,1.3741
5875,6492,7.4663,1.4911
840,7251,14.546,1.3913
4882,6193,7.7187,1.6571
726,1805,12.606,2.5158
2441,7119,11.092,2.0451
6754,7538,7.8023,0.93918
2910,4927,14.928,1.3833
3177,4481,8.2706,1.2011
4466,7978,6.5052,1.7188
2477,4235,7.4114,2.2287
2047,2651,14.941,1.3103
4951,7042,9.374,1.6931
2233,3796,12.845,2.0464
4301,6962,14.444,1.7797
2882,6925,9.4431,1.4711
4301,6925,11.305,1.8137
249,1807,15.623,1.1176
2596,2745,8.4707,2.553
6439,7429,10.265,1.62
4,1646,18.814,1.2481
1982,6415,12.116,1.6151
